Title,Artist,Key,Chord 1,1,2,3,4,5,6,7,8,Chord 2,1,2,3,4,5,6,7,8,Chord 3,1,2,3,4,5,6,7,8,Chord 4,1,2,3,4,5,6,7,8
Shape of You,Ed Sheeran,Minor,0,0,C,C,2,C,C,0,C,3,0,C,C,2,C,C,0,C,5,0,C,C,2,C,C,0,C,6,1,C,C,0,C,C,-1,C
Shape of You,Ed Sheeran,Minor,0,2,C,2,2,2,2,C,2,3,C,2,2,2,2,2,2,2,5,2,C,2,C,3,4,C,4,6,C,C,C,C,C,C,C,C
Shape of You,Ed Sheeran,Minor,0,0,C,0,C,0,C,-1,C,3,0,C,4,C,3,C,C,C,5,2,3,C,4,3,C,2,C,6,0,C,2,C,4,3,3,C
Shape of You,Ed Sheeran,Minor,0,0,C,C,C,6,4,4,C,3,3,2,2,C,0,C,0,C,5,6,4,4,C,3,2,2,C,6,0,C,-3,C,-1,C,0,C
Shape of You,Ed Sheeran,Minor,0,C,C,C,C,C,C,2,3,3,4,C,0,C,2,C,3,C,5,3,C,C,C,C,C,2,3,6,4,C,2,2,2,C,3,C
Shape of You,Ed Sheeran,Minor,0,0,C,C,C,C,C,3,C,3,4,C,6,4,3,C,2,C,5,3,C,C,C,C,2,2,3,6,4,C,3,C,2,C,3,C
Old Town Road,Lil Nas X,Minor,0,4,C,3,C,2,C,0,0,2,4,3,C,3,C,0,0,-1,6,C,C,3,C,C,C,3,4,3,2,C,1,C,1,0,0,0
Old Town Road,Lil Nas X,Minor,0,3,4,4,3,4,C,C,C,2,2,3,3,2,3,C,C,C,6,2,3,3,2,3,C,3,2,3,3,2,3,4,3,2,0,C
Old Town Road,Lil Nas X,Minor,0,4,4,3,3,4,C,7,C,2,4,C,3,C,C,C,2,C,6,C,0,0,0,0,C,0,C,3,3,C,2,C,C,1,0,C
Hello,OMFG,Minor,0,0,C,C,C,0,1,2,4,5,5,C,5,C,5,4,3,4,2,2,C,C,C,2,3,4,C,6,6,C,6,4,6,C,4,C
I Love You,OMFG,Minor,0,0,C,2,1,2,C,4,C,5,5,C,C,5,C,C,6,C,2,2,C,4,3,4,C,3,2,6,-1,C,C,-1,C,2,3,2
I Love You,OMFG,Minor,0,0,C,2,1,2,C,4,C,5,5,C,C,5,C,C,6,C,2,6,C,6,6,4,C,6,C,6,-1,C,-1,-1,2,2,1,-1
Birthday Party,AJR,Major,0,5,C,7,4,C,5,2,C,2,4,1,C,2,0,C,C,C,6,5,C,7,4,C,5,2,C,4,4,1,C,2,0,C,C,C
Birthday Party,AJR,Major,0,-3,C,2,C,C,C,C,-3,2,2,2,2,2,1,C,0,C,6,-2,C,2,C,C,C,C,-3,4,2,2,2,2,1,C,C,0
Replay,Iyaz,Minor,0,4,C,6,C,4,C,3,2,5,3,4,3,C,2,C,6,C,2,4,C,3,2,3,C,3,C,6,4,C,3,4,3,2,0,C
Replay,Iyaz,Minor,0,0,C,2,0,2,C,2,C,5,2,3,4,4,C,-1,0,-1,2,0,C,0,C,0,1,2,2,6,C,C,2,2,C,C,C,C
Replay,Iyaz,Minor,0,4,C,2,2,2,C,0,0,5,4,4,2,C,2,C,0,C,2,3,3,3,3,3,3,2,C,6,2,1,C,C,C,C,C,C
Replay,Iyaz,Minor,0,4,C,0,0,0,C,4,C,5,4,3,C,C,C,-1,-1,-1,2,2,2,2,C,2,C,3,C,6,3,C,C,0,2,C,0,C
Replay,Iyaz,Minor,0,2,C,2,2,2,C,2,2,5,2,C,0,C,C,C,6,C,2,2,2,2,2,7,C,6,C,6,6,4,3,C,C,C,4,C
Hey Jude,The Beatles,Major,0,2,C,C,C,C,2,4,5,4,1,C,C,C,C,C,1,2,4,3,C,7,C,C,7,6,4,0,5,4,2,C,C,C,C,C
